country,continent,unfccc,peak_year,timeline_year,peaked_or_not,carbon_footprint
Australia,Oceania,UNFCCC Annex I,2006,2010,Peaked,533917000
Austria,Europe,UNFCCC Annex I,2003,2010,Peaked,84946000
Azerbaijan,Asia,UNFCCC Non-Annex I,1990 or earlier,1990,Peaked,42638300
Belarus,Europe,UNFCCC Annex I,1990 or earlier,1990,Peaked,91184000
Belgium,Europe,UNFCCC Annex I,1996,2000,Peaked,133258000
Brazil,South America,UNFCCC Non-Annex I,2004,2010,Peaked,1268171300
Bulgaria,Europe,UNFCCC Annex I,1990 or earlier,1990,Peaked,60519000
Canada,North America,UNFCCC Annex I,2007,2010,Peaked,706403000
China,Asia,UNFCCC Non-Annex I,2030 or earlier (CO2 only),2030,Will peak,8770000000
Costa Rica,North America,UNFCCC Non-Annex I,1999,2000,Peaked,14400000
Croatia,Europe,UNFCCC Annex I,1990 or earlier,1990,Peaked,27280000
Cyprus,Asia,UNFCCC Annex I,2008,2010,Peaked,9572000
Czech Republic,Europe,UNFCCC Annex I,1990 or earlier,1990,Peaked,138226000
Denmark,Europe,UNFCCC Annex I,1996,2000,Peaked,62944000
Estonia,Europe,UNFCCC Annex I,1990 or earlier,1990,Peaked,19912000
Finland,Europe,UNFCCC Annex I,1994,2000,Peaked,75835000
France,Europe,UNFCCC Annex I,1991,2000,Peaked,518940000
Georgia,Asia,UNFCCC Non-Annex I,1990 or earlier,1990,Peaked,14600000
Germany,Europe,UNFCCC Annex I,1990 or earlier,1990,Peaked,941039000
Greece,Europe,UNFCCC Annex I,2007,2010,Peaked,118627000
Hungary,Europe,UNFCCC Annex I,1990 or earlier,1990,Peaked,65524000
Iceland,Europe,UNFCCC Annex I,2008,2010,Peaked,4730000
Ireland,Europe,UNFCCC Annex I,2001,2010,Peaked,62235000
Italy,Europe,UNFCCC Annex I,2007,2010,Peaked,508424000
Japan,Asia,UNFCCC Annex I,2020 or earlier,2020,Will peak,1304903000
Kazakhstan,Asia,UNFCCC Non-Annex I,1990 or earlier,1990,Peaked,305344000
South Korea,Asia,UNFCCC Non-Annex I,2020 or earlier,2020,Will peak,602285000
Latvia,Europe,UNFCCC Annex I,1990 or earlier,1990,Peaked,12357000
Liechtenstein,Europe,UNFCCC Annex I,2008,2010,Peaked,231000
Lithuania,Europe,UNFCCC Annex I,1991,2000,Peaked,20755000
Luxembourg,Europe,UNFCCC Annex I,1991,2000,Peaked,12220000
Malta,Europe,UNFCCC Annex I,2020 or earlier,2020,Will peak,3099000
Marshall Islands,Oceania,UNFCCC Non-Annex I,2030 or earlier,2030,Will peak,112000
Mexico,North America,UNFCCC Non-Annex I,2030 or earlier,2030,Will peak,739000000
Micronesia,Oceania,UNFCCC Non-Annex I,2001,2010,Peaked,152000
Moldova,Europe,UNFCCC Non-Annex I,1990 or earlier,1990,Peaked,13282300
Monaco,Europe,UNFCCC Annex I,2000,2000,Peaked,141000
Montenegro,Europe,UNFCCC Non-Annex I,1991,2000,Peaked,1762000
Netherlands,Europe,UNFCCC Annex I,1996,2000,Peaked,213523000
New Zealand,Oceania,UNFCCC Annex I,2020 or earlier,2020,Will peak,78942000
Norway,Europe,UNFCCC Annex I,1990 or earlier,1990,Peaked,55299000
Poland,Europe,UNFCCC Annex I,1992,2000,Peaked,403599000
Portugal,Europe,UNFCCC Annex I,2005,2010,Peaked,71202000
Romania,Europe,UNFCCC Annex I,1990 or earlier,1990,Peaked,119125000
Russia,Europe,UNFCCC Annex I,1990 or earlier,1990,Peaked,2602483000
San Marino,Europe,UNFCCC Non-Annex I,2007,2010,Peaked,334000
Serbia,Europe,UNFCCC Non-Annex I,1990 or earlier,1990,Peaked,65800000
Singapore,Asia,UNFCCC Non-Annex I,2030 or earlier,2030,Will peak,55400000
Slovakia,Europe,UNFCCC Annex I,1990 or earlier,1990,Peaked,46483000
Slovenia,Europe,UNFCCC Annex I,2008,2010,Peaked,19619000
Spain,Europe,UNFCCC Annex I,2007,2010,Peaked,353725000
Sweden,Europe,UNFCCC Annex I,1993,2000,Peaked,64997000
Switzerland,Europe,UNFCCC Annex I,2000,2000,Peaked,54373000
Tajikistan,Asia,UNFCCC Non-Annex I,1990 or earlier,1990,Peaked,6092000
Ukraine,Europe,UNFCCC Annex I,1990 or earlier,1990,Peaked,401929000
United Kingdom,Europe,UNFCCC Annex I,1991,2000,Peaked,614167000
United States,North America,UNFCCC Annex I,2007,2010,Peaked,6985457000
Afghanistan,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,31100000
Albania,Europe,UNFCCC Non-Annex I,Unknown,2050,Unknown,8830000
Algeria,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,188000000
Andorra,Europe,UNFCCC Non-Annex I,Unknown,2050,Unknown,510000
Angola,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,132000000
Antigua and Barbuda,North America,UNFCCC Non-Annex I,Unknown,2050,Unknown,650000
Argentina,South America,UNFCCC Non-Annex I,Unknown,2050,Unknown,393000000
Armenia,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,8900000
Bahamas,North America,UNFCCC Non-Annex I,Unknown,2050,Unknown,3220000
Bahrain,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,29900000
Bangladesh,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,172000000
Barbados,North America,UNFCCC Non-Annex I,Unknown,2050,Unknown,1700000
Belize,North America,UNFCCC Non-Annex I,Unknown,2050,Unknown,5970000
Benin,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,23700000
Bhutan,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,7390000
Bolivia,South America,UNFCCC Non-Annex I,Unknown,2050,Unknown,148000000
Bosnia and Herzegovina,Europe,UNFCCC Non-Annex I,Unknown,2050,Unknown,26200000
Botswana,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,30000000
Brunei,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,16600000
Burkina Faso,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,40700000
Burundi,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,8800000
Cambodia,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,53200000
Cameroon,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,138000000
Cape Verde,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,623000
Central African Republic,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,36000000
Chad,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,41500000
Chile,South America,UNFCCC Non-Annex I,Unknown,2050,Unknown,83300000
China Non-CO2,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,2430000000
Colombia,South America,UNFCCC Non-Annex I,Unknown,2050,Unknown,242000000
Comoros,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,856000
Republic of the Congo,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,17900000
Democratic Republic of the Congo,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,214000000
Cook Islands,Oceania,UNFCCC Non-Annex I,Unknown,2050,Unknown,85600
Côte d'Ivoire,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,24100000
Cuba,North America,UNFCCC Non-Annex I,Unknown,2050,Unknown,96100000
Djibouti,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,1520000
Dominica,North America,UNFCCC Non-Annex I,Unknown,2050,Unknown,294000
Dominican Republic,North America,UNFCCC Non-Annex I,Unknown,2050,Unknown,32000000
Ecuador,South America,UNFCCC Non-Annex I,Unknown,2050,Unknown,154000000
Egypt,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,299000000
El Salvador,North America,UNFCCC Non-Annex I,Unknown,2050,Unknown,13200000
Equatorial Guinea,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,14000000
Eritrea,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,6750000
Ethiopia,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,169390700
Fiji,Oceania,UNFCCC Non-Annex I,Unknown,2050,Unknown,2480000
Gabon,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,6480000
Gambia,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,2570000
Ghana,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,50600000
Grenada,North America,UNFCCC Non-Annex I,Unknown,2050,Unknown,316000
Guatemala,North America,UNFCCC Non-Annex I,Unknown,2050,Unknown,41700000
Guinea,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,31200000
Guinea-Bissau,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,4430000
Guyana,South America,UNFCCC Non-Annex I,Unknown,2050,Unknown,7030000
Haiti,North America,UNFCCC Non-Annex I,Unknown,2050,Unknown,9620000
Honduras,North America,UNFCCC Non-Annex I,Unknown,2050,Unknown,44200000
India,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,3850000000
Indonesia,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,2060000000
Iran,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,761000000
Iraq,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,159000000
Israel,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,78300000
Jamaica,North America,UNFCCC Non-Annex I,Unknown,2050,Unknown,9600000
Jordan,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,28900000
Kenya,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,79100000
Kiribati,Oceania,UNFCCC Non-Annex I,Unknown,2050,Unknown,90500
North Korea,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,108000000
Kuwait,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,110000000
Kyrgyzstan,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,17300000
Laos,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,42200000
Lebanon,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,22000000
Lesotho,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,4640000
Liberia,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,18100000
Libya,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,91700000
Macedonia,Europe,UNFCCC Non-Annex I,Unknown,2050,Unknown,10500000
Madagascar,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,65300000
Malawi,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,15700000
Malaysia,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,433000000
Maldives,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,1150000
Mali,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,40000000
Mauritania,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,12200000
Mauritius,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,4410000
Mongolia,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,51500000
Morocco,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,79100000
Mozambique,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,66000000
Myanmar,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,199000000
Namibia,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,20200000
Nauru,Oceania,UNFCCC Non-Annex I,Unknown,2050,Unknown,60900
Nepal,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,40100000
Nicaragua,North America,UNFCCC Non-Annex I,Unknown,2050,Unknown,44100000
Niger,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,29200000
Nigeria,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,391000000
Niue,Oceania,UNFCCC Non-Annex I,Unknown,2050,Unknown,27200
Oman,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,77200000
Pakistan,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,412000000
Palau,Oceania,UNFCCC Non-Annex I,Unknown,2050,Unknown,218000
Panama,North America,UNFCCC Non-Annex I,Unknown,2050,Unknown,19500000
Papua New Guinea,Oceania,UNFCCC Non-Annex I,Unknown,2050,Unknown,102000000
Paraguay,South America,UNFCCC Non-Annex I,Unknown,2050,Unknown,107000000
Peru,South America,UNFCCC Non-Annex I,Unknown,2050,Unknown,168000000
Philippines,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,168000000
Qatar,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,127000000
Rwanda,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,6370000
Saint Kitts and Nevis,North America,UNFCCC Non-Annex I,Unknown,2050,Unknown,296000
Saint Lucia,North America,UNFCCC Non-Annex I,Unknown,2050,Unknown,502000
Saint Vincent and the Grenadines,North America,UNFCCC Non-Annex I,Unknown,2050,Unknown,300000
Samoa,Oceania,UNFCCC Non-Annex I,Unknown,2050,Unknown,425000
São Tomé and Príncipe,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,166000
Saudi Arabia,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,632000000
Senegal,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,31800000
Seychelles,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,749000
Sierra Leone,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,11300000
Solomon Islands,Oceania,UNFCCC Non-Annex I,Unknown,2050,Unknown,2030000
Somalia,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,43100000
South Africa,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,491000000
South Sudan,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,37200000
Sri Lanka,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,32600000
Sudan,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,134000000
Suriname,South America,UNFCCC Non-Annex I,Unknown,2050,Unknown,8220000
Swaziland,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,2920000
Syria,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,80600000
Tanzania,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,172000000
Thailand,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,436000000
Timor-Leste,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,6320000
Togo,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,15700000
Tonga,Oceania,UNFCCC Non-Annex I,Unknown,2050,Unknown,239000
Trinidad and Tobago,North America,UNFCCC Non-Annex I,Unknown,2050,Unknown,83700000
Tunisia,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,38500000
Turkey,Asia,UNFCCC Annex I,Unknown,2050,Unknown,395283000
Turkmenistan,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,76700000
Tuvalu,Oceania,UNFCCC Non-Annex I,Unknown,2050,Unknown,9450
Uganda,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,56300000
United Arab Emirates,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,239000000
Uruguay,South America,UNFCCC Non-Annex I,Unknown,2050,Unknown,43400000
Uzbekistan,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,219000000
Vanuatu,Oceania,UNFCCC Non-Annex I,Unknown,2050,Unknown,617000
Venezuela,South America,UNFCCC Non-Annex I,Unknown,2050,Unknown,391000000
Vietnam,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,291000000
Yemen,Asia,UNFCCC Non-Annex I,Unknown,2050,Unknown,42300000
Zambia,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,108000000
Zimbabwe,Africa,UNFCCC Non-Annex I,Unknown,2050,Unknown,62700000
